PC116,smallyee's Kangaskhan Rain Team,,Wang Yi-Liang,,,,Kangaskhanite,,,Chople Berry,,,Mystic Water,,,Focus Sash,,,Shuca Berry,,,White Herb,,https://pokepast.es/bff55055a0496f98,Yes,Extracted,✔,1CYY6UY334,10 Apr 2026,-,,https://x.com/smallyeevgc/status/2042506362681463268?s=46,-,-,smallyeevgc,,Kangaskhan-Mega,Incineroar,Basculegion,Pelipper,Tinkaton,Archaludon,,PC116
PC115,Suica's Charizard-Y Venusaur Team,,Joji Kaieda,,,,Charizardite Y,,,Sitrus Berry,,,Choice Scarf,,,Focus Sash,,,White Herb,,,Haban Berry,,https://pokepast.es/30c0c2d0d129e020,Yes,Extracted,✔,JB3GW3BVS8,10 Apr 2026,-,,https://x.com/mihono_suica/status/2042505803312304401?s=46,-,-,mihono_suica,,Charizard-Mega-Y,Incineroar,Basculegion,Venusaur,Sneasler,Garchomp,,PC115
PC114,Twilite's Froslass Balance Team,,Kshaunish Shaik,,,,Froslassite,,,Lum Berry,,,Choice Scarf,,,Focus Sash,,,Occa Berry,,,Black Glasses,,https://pokepast.es/ef9c13a734397b59,Yes,Extracted,✔,M5H09BJLLT,10 Apr 2026,-,,https://x.com/twilite0/status/2042496817670005188?s=46,-,-,twilite0,,Froslass-Mega,Incineroar,Basculegion,Sneasler,Sinistcha,Kingambit,,PC114
PC113,Maya Hoppins' Showdown Ladder (Bo1) Peak 1st Place Team,,Maya Hoppins,,,,Lopunnite,,,Lum Berry,,,Mystic Water,,,Focus Sash,,,Sitrus Berry,,,Magnet,,https://pokepast.es/a81abbf4ab14e717,Yes,Owner's,✔,DRM5PQA3RA,10 Apr 2026,Showdown Ladder (Bo1),Peak 1st,Discord Submission,-,-,Manual Entry,,Lopunny-Mega,Incineroar,Basculegion,Pelipper,Sinistcha,Archaludon,,PC113
PC112,poke_mbasha's Floette Rain Team,,poke_mbasha,,,,Floettite,,,Lum Berry,,,Choice Scarf,,,Focus Sash,,,White Herb,,,Sitrus Berry,,https://pokepast.es/b1003d3716de89e0,Yes,Extracted,✔,GV8P54358K,10 Apr 2026,-,,https://x.com/poke_mbasha/status/2042477488635593017?s=46,-,-,poke_mbasha,,Floette-Mega,Incineroar,Palafin,Pelipper,Sneasler,Sinistcha,,PC112
PC111,olivotec's Dragonite Machamp Team,,olivotec,,,,Dragoninite,,,Sitrus Berry,,,Lum Berry,,,Choice Scarf,,,Focus Sash,,,Quick Claw,,https://pokepast.es/5983cb5dc0c8aee0,No,Extracted,X,None,10 Apr 2026,-,,https://x.com/olivotec/status/2041956773884531141?s=46,-,-,olivotec,,Dragonite-Mega,Arcanine,Machamp,Tyranitar,Whimsicott,Aggron,,PC111
PC110,daikousin's Charizard-Y Maushold Team,,daikousin,,,,Charizardite Y,,,Leftovers,,,Focus Sash,,,Bright Powder,,,Chople Berry,,,Sitrus Berry,,https://pokepast.es/edf7627304f9f12a,Yes,Extracted,✔,HAGY46S97S,10 Apr 2026,-,,https://x.com/daikousin45/status/2042434287363113296?s=46,-,-,daikousin45,,Charizard-Mega-Y,Incineroar,Basculegion,Maushold,Kingambit,Garchomp,,PC110
PC109,sempra's Ninopokebros Pokemon Champions First Tour Top 4 Team,,Abdullah Mohayyuddin,,,,Charizardite Y,,,Kangaskhanite,,,Choice Scarf,,,White Herb,,,Focus Sash,,,Sitrus Berry,,https://pokepast.es/402438f1a58a26e4,Yes,Owner's,✔,QF1BB0GNGR,10 Apr 2026,Ninopokebros Pokemon Champions First Tour,3rd,https://x.com/semprq/status/2042402649379913739?s=46,https://youtu.be/tnXPWMYoQrE?si=5YbS7lVVvneZwHYB,-,semprq,,Charizard-Mega-Y,Kangaskhan-Mega,Basculegion,Sneasler,Whimsicott,Farigiraf,,PC109
PC108,maddyinaction's Froslass Snow Team,,maddyinaction,,,,Froslassite,,,Choice Scarf,,,Sitrus Berry,,,Leftovers,,,Focus Sash,,,Lum Berry,,https://pokepast.es/b3e1beeec39a4ccc,Yes,Extracted,✔,CHETHXC86Q,10 Apr 2026,-,,https://x.com/maddyinaction/status/2042313755048976615?s=46,-,-,maddyinaction,,Froslass-Mega,Arcanine-Hisui,Clefable,Sinistcha,Ninetales-Alola,Garchomp,,PC108
PC107,Charlie Merriman's Froslass Mono Snow Team,,Charlie Merriman,,,,Froslassite,,,Choice Scarf,,,Bright Powder,,,Soft Sand,,,Focus Sash,,,Mental Herb,,https://pokepast.es/38ece1daaef4aa8d,Yes,Extracted,✔,VNXMPM8GUA,10 Apr 2026,-,,https://x.com/chazingdra/status/2042316671646306516?s=46,-,-,chazingdra,,Froslass-Mega,Rotom-Frost,Glaceon,Mamoswine,Weavile,Ninetales-Alola,,PC107
PC106,jortchamp's Scovillian Kommo-o Team,,jortchamp,,,,Scovillainite,,,Tyranitarite,,,Choice Scarf,,,Focus Sash,,,Lum Berry,,,Leftovers,,https://pokepast.es/8f20e43de7c35f78,Yes,Owner's,X,None,10 Apr 2026,-,,https://x.com/jortchamp/status/2042346263782314029?s=46,-,-,jortchamp,,Scovillain-Mega,Tyranitar-Mega,Rotom-Wash,Mamoswine,Corviknight,Kommo-o,,PC106
PC105,pokefey's Torneo Salida Pokemon Champions Tour Champion Team,,pokefey,,,,Golurkite,,,Shuca Berry,,,Charcoal,,,Focus Sash,,,White Herb,,,Sitrus Berry,,https://pokepast.es/44dace349421e14c,Yes,Extracted,✔,SPMJ8BQ863,10 Apr 2026,-Torneo Salida Pokemon Champions Tour,Champion,https://x.com/pokefey/status/2042357976741142644?s=46,-,-,pokefey,,Golurk-Mega,Incineroar,Torkoal,Venusaur,Sneasler,Farigiraf,,PC105
PC104,shinobuvgc's Hawlucha Vanilluxe Team,,shinobuvgc,,,,Hawluchanite,,,Sitrus Berry,,,Focus Sash,,,Choice Scarf,,,Leftovers,,,Yache Berry,,https://pokepast.es/a666c40622515025,Yes,Extracted,✔,0CAJQSERGL,10 Apr 2026,-,,https://x.com/shinobuvgc/status/2042312398313570370?s=46,-,-,shinobuvgc,,Hawlucha-Mega,Incineroar,Sneasler,Vanilluxe,Sinistcha,Dragapult,,PC104
PC103,og_albina's Floette Aerodactyl Team,,og_albina,,,,Aerodactylite,,,Floettite,,,Sitrus Berry,,,Leftovers,,,Mental Herb,,,White Herb,,https://pokepast.es/e1757ce6403e3c0d,Yes,Owner's,✔,U6U1MSAH6W,10 Apr 2026,-,,https://x.com/og_albina/status/2042312761074692402?s=46,-,-,og_albina,,Aerodactyl-Mega,Floette-Mega,Incineroar,Rotom-Wash,Sinistcha,Garchomp,,PC103
PC102,aki_cgv's Gyarados Floette Team,,aki_cgv,,,,Floettite,,,Gyaradosite,,,Shuca Berry,,,White Herb,,,Chople Berry,,,Sitrus Berry,,https://pokepast.es/c374b9fa1b4c696b,Yes,Extracted,✔,FQR9C8D9HQ,10 Apr 2026,-,,https://x.com/aki_cgv/status/2042357414247170522?s=46,-,-,aki_cgv,,Floette-Mega,Gyarados-Mega,Incineroar,Sneasler,Tyranitar,Sinistcha,,PC102
PC101,bubblymarmar's Froslass Glaceon Team,,bubblymarmar,,,,Clefablite,,,Froslassite,,,Chople Berry,,,Never-Melt Ice,,,Focus Sash,,,Black Glasses,,https://pokepast.es/96e486fffbf259e3,Yes,Extracted,✔,9BMEQ048X1,10 Apr 2026,-,,https://x.com/bubblymarmar/status/2042324594183290963?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,bubblymarmar,,Clefable-Mega,Froslass-Mega,Incineroar,Glaceon,Whimsicott,Kingambit,,PC101
PC100,ursakingvgc's Ninopokebros Pokemon Champions First Tour Champion Team,,ursakingvgc,,,,Delphoxite,,,Choice Scarf,,,Focus Sash,,,Sitrus Berry,,,Black Glasses,,,Lum Berry,,https://pokepast.es/bfcfc47093e5ed1b,Yes,Extracted,✔,71S9VTS8EN,10 Apr 2026,Ninopokebros Pokemon Champions First Tour,Champion,https://x.com/ursakingvgc/status/2042323507812388996?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,ursakingvgc,,Delphox-Mega,Basculegion,Sneasler,Clefable,Kingambit,Dragonite,,PC100
PC99,MrPotrol's Gengar Sand Team,,MrPotrol,,,,Gengarite,,,Chople Berry,,,Focus Sash,,,Choice Scarf,,,Sitrus Berry,,,Leftovers,,https://pokepast.es/02d682dd3305ddd5,Yes,Extracted,✔,6SMN8F95X5,10 Apr 2026,-,,https://x.com/MrPotrol/status/2042274797091016761?s=20,-,-,MrPotrol,,Gengar-Mega,Incineroar,Excadrill,Tyranitar,Sinistcha,Kommo-o,,PC99
PC98,PokeAlex's Venusaur Dragonite Team,,Alex Gómez,,,,Dragoninite,,,Venusaurite,,,Lum Berry,,,Choice Scarf,,,Focus Sash,,,Chople Berry,,https://pokepast.es/6f2f9887a5453656,Yes,Extracted,✔,19JJEUQVPW,10 Apr 2026,-,,https://x.com/PokeAlex_/status/2042292842979106940?s=20,-,-,PokeAlex_,,Dragonite-Mega,Venusaur-Mega,Incineroar,Basculegion,Sneasler,Kingambit,,PC98
PC97,Riopaser's Charizard-Y Corviknight Team,,Eric Ríos,,,,Charizardite Y,,,Shuca Berry,,,Sitrus Berry,,,Focus Sash,,,Leftovers,,,Choice Scarf,,https://pokepast.es/b5cbcbb333332eec,Yes,Extracted,✔,JYVH6YJ058,10 Apr 2026,-,,https://x.com/riopaser/status/2042295635890544952?s=20,-,-,riopaser,,Charizard-Mega-Y,Incineroar,Rotom-Wash,Venusaur,Corviknight,Garchomp,,PC97
PC96,zeen's Floette Delphox Team,,Shohei Kimura,,,,Delphoxite,,,Floettite,,,Leftovers,,,White Herb,,,Chople Berry,,,Sitrus Berry,,https://pokepast.es/49b82822e2b0b152,Yes,Extracted,✔,QP0J1YCP2V,10 Apr 2026,-,,https://x.com/zeen172M/status/2042297497595625655?s=20,-,-,zeen172M,,Delphox-Mega,Floette-Mega,Incineroar,Sneasler,Kingambit,Garchomp,,PC96
PC95,bsmiffy's Floette Corviknight Team,,Brady Smith,,,,Floettite,,,Sharp Beak,,,Focus Sash,,,Sitrus Berry,,,Leftovers,,,White Herb,,https://pokepast.es/fec893ba7047309c,Yes,Extracted,✔,B3906U4L2V,10 Apr 2026,-,,https://x.com/vgccorner/status/2042293847749792116?s=20,-,-,vgccorner,,Floette-Mega,Talonflame,Glimmora,Maushold,Corviknight,Garchomp,,PC95
PC94,i's Froslass Glimmora Team,,i,,,,Froslassite,,,Glimmoranite,,,Sitrus Berry,,,White Herb,,,Focus Sash,,,Dragon Fang,,https://pokepast.es/08be210ac8383c5b,Yes,Extracted,✔,UC0EQMK281,10 Apr 2026,-,,https://x.com/i/status/2042268991729623543,-,-,i,,Froslass-Mega,Glimmora-Mega,Incineroar,Sneasler,Whimsicott,Dragapult,,PC94
PC93,johnnychiou36's Charizard-Y HTR Team,,johnnychiou36,,,,Charizardite Y,,,Shuca Berry,,,Charcoal,,,Sitrus Berry,,,Black Glasses,,,Fairy Feather,,https://pokepast.es/1590eaf3b449c566,Yes,Extracted,✔,ULUG3FD87Y,10 Apr 2026,-,,https://x.com/johnnychiou36/status/2041980473635958803?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,johnnychiou36,,Charizard-Mega-Y,Incineroar,Torkoal,Farigiraf,Kingambit,Hatterene,,PC93
PC92,Kinugawa's Floette Scizor Team,,Yuma Kinugawa,,,,Floettite,,,Sitrus Berry,,,Choice Scarf,,,Focus Sash,,,Metal Coat,,,White Herb,,https://pokepast.es/7c7a4369d95a0ba4,Yes,Extracted,✔,3KCG8TMGM6,10 Apr 2026,Video,,https://x.com/kinurincipall/status/2042276761480892825?s=46,https://www.youtube.com/watch?v=ydJcT3j76vs,-,kinurincipall,,Floette-Mega,Incineroar,Basculegion,Sneasler,Scizor,Dragonite,,PC92
PC91,Emir's Froslass Garchomp Team,,Emir Abdulovski,,,,Froslassite,,,Garchompite,,,White Herb,,,Sitrus Berry,,,Never-Melt Ice,,,Focus Sash,,https://pokepast.es/a9ee109f8393351c,Yes,Extracted,✔,M30U25MF9W,10 Apr 2026,-,,https://x.com/emirnent/status/2042274352335298863?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,emirnent,,Froslass-Mega,Garchomp-Mega,Arcanine-Hisui,Rotom-Wash,Glaceon,Whimsicott,,PC91
PC90,Tsuyu's Froslass Whimsicott Team,,Seowon Kim,,,,Froslassite,,,King's Rock,,,Leftovers,,,White Herb,,,Focus Sash,,,Choice Scarf,,https://pokepast.es/57942483669b4ef2,Yes,Extracted,✔,7669N934S8,10 Apr 2026,-,,https://x.com/tsuyuvgc/status/2042262711325884681?s=20,-,-,tsuyuvgc,,Froslass-Mega,Arcanine-Hisui,Rotom-Wash,Sneasler,Whimsicott,Garchomp,,PC90
PC89,Whitezero2000's Hawlucha Excadrill Team,,Pai Yu-Ping,,,,Hawluchanite,,,Tyranitarite,,,Leftovers,,,Focus Sash,,,Choice Scarf,,,Bright Powder,,https://pokepast.es/f7f075b7aa0fbd1b,Yes,Extracted,✔,QJK210P4BN,10 Apr 2026,-,,https://x.com/Whitezero2000/status/2042258514031362397?s=20,youtube.com/watch?si=Gzu5t6QJgTBjb_dx&v=6hXSRpLYPxY&feature=youtu.be,-,Whitezero2000,,Hawlucha-Mega,Tyranitar-Mega,Primarina,Excadrill,Zoroark-Hisui,Garchomp,,PC89
PC88,KitWiller's Delphox Balance Team,,Daniel Pioppi,,,,Delphoxite,,,Choice Scarf,,,Focus Sash,,,Sitrus Berry,,,Chople Berry,,,Lum Berry,,https://pokepast.es/59dbdf9100f4bf1b,Yes,Extracted,✔,W6F02LBU3N,10 Apr 2026,-,,https://x.com/KitWillerVGC/status/2042263606339756537?s=20,-,-,KitWillerVGC,,Delphox-Mega,Basculegion,Sneasler,Clefable,Kingambit,Dragonite,,PC88
PC87,Kaguya's Meganium Crabominable Team,,Blake Falls,,,,Crabominite,,,Meganiumite,,,Sitrus Berry,,,Choice Scarf,,,Focus Sash,,,Colbur Berry,,https://pokepast.es/0d6b63b6d76c63f4,Yes,Extracted,✔,E9C9KKUM7S,10 Apr 2026,-,,https://x.com/KaguyaFalls/status/2042278105763455362?s=20,-,-,KaguyaFalls,,Crabominable-Mega,Meganium-Mega,Incineroar,Basculegion,Aerodactyl,Farigiraf,,PC87
PC86,biko09's Charizard-Y Gengar Team,,biko09,,,,Charizardite Y,,,Gengarite,,,Focus Sash,,,Chople Berry,,,Black Glasses,,,Choice Scarf,,https://pokepast.es/4deec0f15d3f3a25,Yes,Extracted,✔,4K9MTFGRM2,10 Apr 2026,-,,https://x.com/biko09/status/2042237859843764257?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,biko09,,Charizard-Mega-Y,Gengar-Mega,Sneasler,Maushold,Kingambit,Garchomp,,PC86
PC85,anivgc's Glimmora HO Team,,anivgc,,,,Glimmoranite,,,Sitrus Berry,,,Sharp Beak,,,Mental Herb,,,Choice Scarf,,,White Herb,,https://pokepast.es/90115341f30fd4d3,Yes,Extracted,✔,JT8V1HKG93,10 Apr 2026,-,,https://x.com/anivgc/status/2042125795263418880?s=46,-,-,anivgc,,Glimmora-Mega,Incineroar,Talonflame,Sinistcha,Gardevoir,Garchomp,,PC85
PC84,LegnaK's Camrupt Aggron Team,,Timothy Hardin,,,,Aggronite,,,Cameruptite,,,Starminite,,,Mystic Water,,,Focus Sash,,,Mental Herb,,https://pokepast.es/a22ad874febccd0c,Yes,Extracted,✔,RTS2DT6U43,10 Apr 2026,-,,https://x.com/l_krad/status/2041984763020316841?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,l_krad,,Aggron-Mega,Camerupt-Mega,Starmie-Mega,Araquanid,Pelipper,Farigiraf,,PC84
PC83,Xeminan's Gyarados Raichu Team,,Joe Brown,,,,Gyaradosite,,,Sitrus Berry,,,Focus Sash,,,Leftovers,,,Black Glasses,,,White Herb,,https://pokepast.es/31b63bd1eb7489e1,Yes,Extracted,✔,UJPTLKCU9V,10 Apr 2026,-,,https://x.com/xeminan/status/2042275274339860532?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,xeminan,,Gyarados-Mega,Arcanine,Raichu,Sinistcha,Kingambit,Dragapult,,PC83
PC82,cantfly's Charizard-Y Aerodactyl Team,,Yuma Miyamoto,,,,Aerodactylite,,,Charizardite Y,,,Chople Berry,,,White Herb,,,Kasib Berry,,,Sitrus Berry,,https://pokepast.es/cce6c3db96c6f0a9,Yes,Extracted,✔,VTRVW3P96G,10 Apr 2026,-,,https://x.com/cantfly_ss/status/2042246912699756864?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,cantfly_ss,,Aerodactyl-Mega,Charizard-Mega-Y,Incineroar,Sneasler,Sinistcha,Kommo-o,,PC82
PC81,c_ragone's Froslass Dragonite Team,,Carmine Ragone,,,,Dragoninite,,,Froslassite,,,Sitrus Berry,,,Focus Sash,,,Leftovers,,,White Herb,,https://pokepast.es/0f9bbc64d04aeb94,Yes,Extracted,✔,RRCFV01UMR,10 Apr 2026,-,,https://x.com/c_ragone/status/2042230998419562932?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,c_ragone,,Dragonite-Mega,Froslass-Mega,Volcarona,Whimsicott,Corviknight,Garchomp,,PC81
PC80,M. Khoa Nguyen's Gardevoir Lucario Team,,M. Khoa Nguyen,,,,Gardevoirite,,,Lucarionite,,,Sharp Beak,,,Leftovers,,,Focus Sash,,,Soft Sand,,https://pokepast.es/4dbe7ef39a32dc84,Yes,Owner's,✔,A45GB8L86M,10 Apr 2026,-,,https://x.com/yukinakafuyu/status/2042097655191629969?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,yukinakafuyu,,Gardevoir-Mega,Lucario-Mega,Talonflame,Milotic,Meowscarada,Garchomp,,PC80
PC79,barudoru's Starmie Kingambit Team,,Ryota Otsubo,,,,Starminite,,,Sitrus Berry,,,Focus Sash,,,Leftovers,,,Chople Berry,,,Fairy Feather,,https://pokepast.es/90d7bbca27d03b96,Yes,Extracted,✔,EY8QMU0H26,9 Apr 2026,-,,https://x.com/barudoru/status/2042246450101584319?s=46,-,-,barudoru,,Starmie-Mega,Incineroar,Sneasler,Sinistcha,Kingambit,Sylveon,,PC79
PC78,WoodTofu's Froslass Dragonite Team,,WoodTofu,,,,Dragoninite,,,Froslassite,,,Focus Sash,,,Sitrus Berry,,,Black Glasses,,,Fairy Feather,,https://pokepast.es/96b69e191c270fb0,Yes,Extracted,✔,KCE6LR37SF,9 Apr 2026,-,,https://x.com/woodtofuvgc/status/2042246934451343532?s=46,-,-,woodtofuvgc,,Dragonite-Mega,Froslass-Mega,Sneasler,Maushold,Kingambit,Sylveon,,PC78
PC77,starfish0206's Floette Maushold Team,,starfish0206,,,,Floettite,,,Sharp Beak,,,Sitrus Berry,,,White Herb,,,Focus Sash,,,Choice Scarf,,https://pokepast.es/dde36f551052b3aa,Yes,Extracted,✔,PU83M1D2DE,9 Apr 2026,-,,https://x.com/starfish0206/status/2042231132981527025?s=46,-,-,starfish0206,,Floette-Mega,Talonflame,Rotom-Wash,Sneasler,Maushold,Garchomp,,PC77
PC76,soulkw's Froslass Garchomp Team,,soulkw,,,,Froslassite,,,Focus Sash,,,Lum Berry,,,Choice Scarf,,,Occa Berry,,,Yache Berry,,https://pokepast.es/4d118af012700a8e,Yes,Extracted,✔,NKQC2WXFFF,9 Apr 2026,Video,,Discord Submission,https://www.youtube.com/watch?v=ItmnEIyOxgc,-,Manual Entry,,Froslass-Mega,Talonflame,Gyarados,Meowscarada,Kingambit,Garchomp,,PC76
PC75,pokedansong's Charizard-Y Dragapult Team,,Daniel Song,,,,Charizardite Y,,,Sitrus Berry,,,White Herb,,,Mental Herb,,,Black Glasses,,,Lum Berry,,https://pokepast.es/63e4700fa28cfba6,No,Extracted,X,None,9 Apr 2026,-,,https://x.com/pokedansong/status/2042119796339449923?s=46,-,-,pokedansong,,Charizard-Mega-Y,Gyarados,Sneasler,Whimsicott,Kingambit,Dragapult,,PC75
PC74,SableyeVGC's Ninopokebros Pokemon Champions First Tour Top 64 Team,,Ryan Loseto,,,,Gengarite,,,Choice Scarf,,,Leftovers,,,Sitrus Berry,,,Black Glasses,,,Lum Berry,,https://pokepast.es/c6e7ad38536330de,Yes,Extracted,✔,BGRW00PJVG,9 Apr 2026,Ninopokebros Pokemon Champions First Tour,Top 64,https://x.com/SableyeVGC/status/2042233570501021767?s=20,-,-,SableyeVGC,,Gengar-Mega,Rotom-Heat,Gyarados,Conkeldurr,Kingambit,Garchomp,,PC74
PC73,Mag_paradoxpoke's Floette Dragonite Team,,Mag_paradoxpoke,,,,Floettite,,,Sitrus Berry,,,Focus Sash,,,Leftovers,,,Chople Berry,,,White Herb,,https://pokepast.es/3fbb6868729fce0e,Yes,Extracted,✔,6YNSBUNUGB,9 Apr 2026,-,,https://x.com/Mag_paradoxpoke/status/2042139722332697080?s=20,-,-,Mag_paradoxpoke,,Floette-Mega,Incineroar,Basculegion,Sinistcha,Kingambit,Dragonite,,PC73
PC72,Heavy_Bubbles' Blastoise Tyranitar Team,,Heavy_Bubbles,,,,Blastoisinite,,,Tyranitarite,,,Shuca Berry,,,Chople Berry,,,Sitrus Berry,,,Fairy Feather,,https://pokepast.es/334fd4744039f72a,Yes,Extracted,✔,L4RYGD9JSF,9 Apr 2026,-,,https://x.com/Heavy_Bubbles/status/2042228060402184697?s=20,-,-,Heavy_Bubbles,,Blastoise-Mega,Tyranitar-Mega,Incineroar,Maushold,Sinistcha,Sylveon,,PC72
PC71,itsmakovgc's Charizard-Y Milotic Team,,itsmakovgc,,,,Charizardite Y,,,Sitrus Berry,,,Leftovers,,,Focus Sash,,,Choice Scarf,,,Yache Berry,,https://pokepast.es/29d99138c43b5eff,No,Extracted,X,None,9 Apr 2026,-,,https://x.com/itsmakovgc/status/2041860779654197692,-,-,itsmakovgc,,Charizard-Mega-Y,Incineroar,Milotic,Venusaur,Gardevoir,Garchomp,,PC71
PC70,Yunittoyuni's Floette Aegislash Team,,Yuma Suzuki,,,,Floettite,,I,No Item,,,Sitrus Berry,,,Focus Sash,,,Spell Tag,,,Soft Sand,,https://pokepast.es/861e1cb473a4f94f,Yes,Extracted,✔,FWQTN3WTFF,9 Apr 2026,-,,https://x.com/Yunittoyuni/status/2042161683700056215?s=20,-,-,Yunittoyuni,,Floette-Mega,Talonflame,Rotom-Wash,Maushold,Aegislash,Garchomp,,PC70
PC69,WayneYu's Starmie Decidueye Team,,Wayne Yu,,,,Dragoninite,,,Starminite,,,Mystic Water,,,Focus Sash,,,Scope Lens,,,Sitrus Berry,,https://pokepast.es/5c05301967a2b8ff,Yes,Extracted,✔,XWNEYTH6QG,9 Apr 2026,-,,https://x.com/yuwaynezobel/status/2042198458053140539?s=46,-,-,yuwaynezobel,,Dragonite-Mega,Starmie-Mega,Basculegion,Pelipper,Decidueye-Hisui,Orthworm,,PC69
PC68,ChyrWill's Floette Balance Team,,Chyr Wei,,,,Floettite,,,Chople Berry,,,Focus Sash,,,White Herb,,,Sitrus Berry,,,Shuca Berry,,https://pokepast.es/342cd880c428bad8,Yes,Extracted,✔,ARQ7Q9LK1Q,9 Apr 2026,-,,https://x.com/chyrwill/status/2042206855745941815?s=46,-,-,chyrwill,,Floette-Mega,Incineroar,Aerodactyl,Sneasler,Sinistcha,Kingambit,,PC68
PC67,dodoriosiriru's Drampa Mimikyu Team,,Hijito Kihara,,,,Drampanite,,,Sitrus Berry,,,Charcoal,,,Mystic Water,,,Soft Sand,,,Mental Herb,,https://pokepast.es/f6b20056ee08eff1,Yes,Extracted,✔,W6YUYC9B6M,9 Apr 2026,-,,https://x.com/dodoriosiriru/status/2042176623433392255?s=46,-,-,dodoriosiriru,,Drampa-Mega,Incineroar,Torkoal,Primarina,Mudsdale,Mimikyu,,PC67
PC66,spits25's Glimmora Meowscarada Team,,spits25,,,,Glimmoranite,,,Sharp Beak,,,Magnet,,,Focus Sash,,,Choice Scarf,,,Lum Berry,,https://pokepast.es/4cfa8b9fbb4e4dac,Yes,Extracted,✔,A9PQR20UR0,9 Apr 2026,-,,https://x.com/spits25/status/2042069267223605425?s=46,-,-,spits25,,Glimmora-Mega,Talonflame,Rotom-Wash,Meowscarada,Gardevoir,Garchomp,,PC66
PC65,paparuo193's Charizard-Y Arcanine Team,,paparuo193,,,,Charizardite Y,,,Charcoal,,,Sitrus Berry,,,Occa Berry,,,Focus Sash,,,Roseli Berry,,https://pokepast.es/9bc4c08352b26e5c,No,Extracted,X,None,9 Apr 2026,-,,https://x.com/paparuo193/status/2041892167871033793?s=46,-,-,paparuo193,,Charizard-Mega-Y,Arcanine-Hisui,Incineroar,Venusaur,Whimsicott,Hydreigon,,PC65
PC64,chrome's Gengar Tyranitar Team,,chrome,,,,Gengarite,,,Shuca Berry,,,Sitrus Berry,,,White Herb,,,Choice Scarf,,,Sharp Beak,,https://pokepast.es/4415ef78526efe00,Yes,Extracted,✔,GCB13UQK68,9 Apr 2026,-,,https://x.com/chrome_pokemon/status/2042079776324907125?s=46,-,-,chrome_pokemon,,Gengar-Mega,Incineroar,Rotom-Wash,Sneasler,Tyranitar,Corviknight,,PC64
PC63,ChessBoard's Ninopokebros Pokemon Champions First Tour Top 16 Team,,Mason Cutler,,,,Floettite,,,Choice Scarf,,,Black Belt,,,Chople Berry,,,Focus Sash,,,Roseli Berry,,https://pokepast.es/b361b755e6ee4071,Yes,Extracted,✔,CGGR1V8RAJ,9 Apr 2026,Ninopokebros Pokemon Champions First Tour,Top 16,https://x.com/chessboard__/status/2042116782308069829?s=46,-,-,chessboard__,,Floette-Mega,Typhlosion-Hisui,Tsareena,Tyranitar,Whimsicott,Garchomp,,PC63
PC62,yotsu_sanzaiman's Froslass Typhlosion Team,,yotsu_sanzaiman,,,,Froslassite,,,Sharp Beak,,,Choice Scarf,,,Focus Sash,,,Sitrus Berry,,,Soft Sand,,https://pokepast.es/34ed2fad303b791b,Yes,Extracted,✔,UV7SH8888S,9 Apr 2026,-,,https://x.com/yotsu_sanzaiman/status/2042095112050897159?s=46,-,-,yotsu_sanzaiman,,Froslass-Mega,Talonflame,Typhlosion-Hisui,Sneasler,Farigiraf,Garchomp,,PC62
PC61,Ryoma's Tyranitar Gardevoir Team,,Ryoma Okamoto,,,,Gardevoirite,,,Tyranitarite,,,Choice Scarf,,,Leftovers,,,Focus Sash,,,Sitrus Berry,,https://pokepast.es/aa0df0ddf0d3ff10,Yes,Extracted,✔,PA18XF9ESA,9 Apr 2026,-,,https://x.com/ryoma9901_poke/status/2042155769035153744?s=46,-,-,ryoma9901_poke,,Gardevoir-Mega,Tyranitar-Mega,Rotom-Heat,Gyarados,Excadrill,Sinistcha,,PC61
PC60,0516edward's Charizard-Y Whimsicott Team,,0516edward,,,,Charizardite Y,,,White Herb,,,Focus Sash,,,Sitrus Berry,,,Black Glasses,,,Choice Scarf,,https://pokepast.es/e4c2c74bb251c4c4,Yes,Extracted,✔,3FEVNLETH3,9 Apr 2026,-,,https://x.com/0516edward/status/2042158022286594245?s=46,-,-,0516edward,,Charizard-Mega-Y,Sneasler,Whimsicott,Farigiraf,Kingambit,Garchomp,,PC60
PC59,SparK's Glimmora Araquanid Team,,SparK,,,,Glimmoranite,,,Focus Sash,,,Mystic Water,,,White Herb,,,Sitrus Berry,,,Leftovers,,https://pokepast.es/243aa57629cd087d,Yes,Owner's,X,None,9 Apr 2026,-,,Discord Submission,-,-,Manual Entry,,Glimmora-Mega,Talonflame,Araquanid,Sneasler,Sinistcha,Goodra-Hisui,,PC59
